full_name,gender,email,address,city,state,zip,score,date
Dahlia&Piggens,0,dpiggens3w@webnode.com,5 Del Mar Trail,,Washington,,6,1/11/2017
Mary&Molloy,0,mmolloy6b@weather.com,073 Warbler Lane,Pensacola,Florida,32511,4,1/11/2017
Kirk&Mandel,1,kmandel40@slashdot.org,38501 Westerfield Street,New Orleans,Louisiana,70154,2,1/11/2017
Papagena&Whiston,1,pwhiston84@usgs.gov,9 Westridge Road,Portsmouth,Virginia,23705,5,1/11/2017
Andonis&Gifford,1,agifforda8@discuz.net,68 Clemons Avenue,Long Beach,California,90847,2,1/11/2017
Cally&Dransfield,1,cdransfieldca@redcross.org,958 Grim Crossing,North Port,Florida,34290,10,1/11/2017
Raynell&Morfey,0,rmorfey2n@baidu.com,19 Warrior Point,Madison,Wisconsin,,3,1/12/2017
Willie&Wagner,0,,7 Center Road,New York City,New York,10045,2,1/12/2017
Austen&Grealey,0,agrealeyb6@goodreads.com,43145 Sachs Street,Grand Rapids,Michigan,49510,3,1/12/2017
Thedric&Bilovus,1,tbilovus32@yahoo.co.jp,95450 Vahlen Court,Rochester,New York,14614,8,1/12/2017
Hanson&Claesens,1,hclaesensa7@hostgator.com,856 5th Road,Dallas,Texas,75353,5,1/12/2017
Seamus&Konzelmann,0,skonzelmann59@ihg.com,83 Algoma Plaza,New York City,New York,10019,8,1/13/2017
Kenton&Clemo,1,kclemo6j@rambler.ru,6 Lakewood Avenue,Des Moines,Iowa,50335,7,1/13/2017
Marya&Stot,1,mstot8r@who.int,591 Hovde Center,Norfolk,Virginia,23520,4,1/13/2017
York&Espadas,0,yespadas2w@ocn.ne.jp,54374 Steensland Park,Ann Arbor,Michigan,48107,1,1/14/2017
Jackquelin&Vigers,0,jvigers8p@dion.ne.jp,0578 Clyde Gallagher Lane,Houston,Texas,77266,8,1/14/2017
Darrell&Ledbetter,1,dledbetter1y@smugmug.com,3 Annamark Crossing,New York City,New York,10175,1,1/14/2017
Sybil&Rennles,1,srennles7a@de.vu,1 Manitowish Terrace,Cincinnati,Ohio,45218,3,1/14/2017
Valentine&Searsby,1,vsearsbycp@china.com.cn,294 Toban Crossing,Washington,District of Columbia,20503,3,1/14/2017
L;urette&Lattie,0,llattieg@oakley.com,7 Donald Drive,Charleston,West Virginia,25326,9,1/15/2017
Stanislaw&Mottershead,0,smottershead1v@globo.com,2559 Namekagon Park,Jefferson City,Missouri,65110,3,1/15/2017
Griselda&Baumann,0,gbaumann86@google.com,52 Knutson Lane,,New York,,7,1/15/2017
Bear&Sharville,1,bsharvillecn@sina.com.cn,9 Mandrake Hill,Sacramento,California,94263,9,1/15/2017
Levi&Treherne,0,ltreherne33@domainmarket.com,666 Susan Terrace,Detroit,Michigan,48258,8,1/16/2017
Annalise&Beake,0,abeake46@diigo.com,7 1st Way,Bonita Springs,Florida,34135,1,1/16/2017
Mela&Veare,0,mveareax@ning.com,4542 Weeping Birch Drive,Jamaica,New York,11499,5,1/16/2017
Annecorinne&Gilbey,1,agilbey7o@state.tx.us,0283 Walton Pass,Louisville,Kentucky,40280,1,1/16/2017
Thorin&Le Marchand,0,tlemarchand21@multiply.com,6673 Anhalt Trail,Tampa,Florida,33620,4,1/17/2017
Brose&Biles,0,,64171 Harbort Circle,Charleston,West Virginia,,4,1/17/2017
Hamilton&Darke,0,hdarke9n@123-reg.co.uk,39998 Stone Corner Terrace,Washington,District of Columbia,20244,2,1/17/2017
Bobinette&Jerzak,0,bjerzak9r@uiuc.edu,26441 Red Cloud Parkway,Houston,Texas,77030,4,1/17/2017
Lonna&Baldacchino,0,lbaldacchinobr@jigsy.com,05471 Pleasure Crossing,Atlanta,Georgia,31196,9,1/17/2017
Barbaraanne&Sygroves,1,bsygroves4s@com.com,77 Lotheville Lane,,Kentucky,40524,2,1/17/2017
Jasmin&Harlick,0,jharlick20@comsenz.com,05126 Melody Road,Springfield,Illinois,62764,3,1/18/2017
Pam&Yes,0,pyes7l@google.ru,6039 Northwestern Way,,California,94913,3,1/18/2017
Yard&Danielski,1,ydanielski58@bandcamp.com,597 Schurz Lane,Arlington,Virginia,,6,1/18/2017
Neville&Rigler,1,nrigler6z@pbs.org,94 Warrior Place,Ogden,Utah,84409,2,1/18/2017
Clari&Vials,0,cvials2@biblegateway.com,50354 Village Green Trail,Berkeley,California,94712,3,1/19/2017
Jacynth&Taw,0,jtaw6f@cnn.com,20 Quincy Circle,Baltimore,Maryland,21290,6,1/19/2017
Gerrilee&Orhrt,0,gorhrt6i@telegraph.co.uk,556 Randy Alley,Philadelphia,Pennsylvania,19178,5,1/19/2017
Joya&Renshaw,1,jrenshaw1c@redcross.org,0175 Orin Alley,,North Carolina,27409,2,1/19/2017
Randene&Baltrushaitis,1,rbaltrushaitis8x@tinypic.com,8269 Weeping Birch Circle,Saint Louis,Missouri,63110,5,1/19/2017
Valerye&Jennemann,1,vjennemann8z@about.com,42 Briar Crest Alley,Pittsburgh,Pennsylvania,15240,6,1/19/2017
Barbi&Spiers,0,,9 Clove Hill,Miami,Florida,33190,3,1/20/2017
Doyle&Griffen,1,dgriffen2v@theglobeandmail.com,6 Onsgard Avenue,Chattanooga,Tennessee,37410,5,1/20/2017
Quintus&McMonies,1,qmcmonies3l@quantcast.com,92 Linden Lane,Akron,Ohio,44393,3,1/20/2017
Mycah&Helstrip,1,mhelstrip3s@cpanel.net,267 Dawn Place,Santa Barbara,California,93150,10,1/20/2017
See&Francesc,1,sfrancesc79@youtube.com,4 Mendota Lane,Knoxville,Tennessee,37931,10,1/20/2017
Duke&Yeend,1,dyeend83@vk.com,15771 Jackson Junction,Jamaica,New York,11407,5,1/20/2017
Yale&Menaul,0,ymenaul9@merriam-webster.com,2 Fallview Parkway,Sacramento,California,94291,4,1/21/2017
Justis&Immins,0,jimmins1w@bravesites.com,NIL,Syracuse,New York,13224,1,1/21/2017
Lilah&Sidebotton,0,lsidebotton7c@wsj.com,14 Forest Dale Road,Alexandria,Virginia,22333,10,1/21/2017
Ramsay&Norcliffe,1,rnorcliffeb@hud.gov,74194 Canary Hill,Bronx,New York,10454,4,1/21/2017
Alfie&Conerding,1,aconerding77@mtv.com,55169 Sage Drive,Philadelphia,Pennsylvania,19093,4,1/21/2017
Chrystal&Jeffrey,1,cjeffreyao@google.pl,1448 Red Cloud Trail,Grand Rapids,Michigan,49510,6,1/21/2017
Renault&Delafoy,1,rdelafoyay@ycombinator.com,87125 2nd Trail,Phoenix,Arizona,85072,5,1/21/2017
Duffie&Dunbar,0,ddunbar9z@slideshare.net,48 Rockefeller Crossing,Tulsa,,74184,10,1/22/2017
Aggy&Derks,0,aderksb2@umich.edu,09 Mosinee Lane,New York City,New York,,4,1/22/2017
Eddi&Culbert,1,eculbert8g@multiply.com,599 Grayhawk Avenue,Macon,Georgia,31210,5,1/22/2017
Georgy&Laverack,1,glaverack8v@e-recht24.de,0 Gulseth Road,Springfield,Missouri,,7,1/22/2017
Korney&Isoldi,1,kisoldibz@reddit.com,7 Coolidge Point,Honolulu,Hawaii,96850,3,1/22/2017
Martita&Luter,1,mlutercd@umn.edu,9977 Pond Place,West Palm Beach,Florida,33421,10,1/22/2017
Dulce&Doulden,0,ddoulden24@taobao.com,91 Dapin Alley,,Connecticut,6854,5,1/23/2017
Franz&Plascott,0,fplascott2l@hatena.ne.jp,332 Springs Road,Las Vegas,,89115,4,1/23/2017
Stuart&Timberlake,0,stimberlake7r@bloglovin.com,25 Oak Plaza,Charlotte,North Carolina,28242,7,1/23/2017
Padgett&Cantua,1,pcantua11@google.com,11384 Springs Plaza,San Antonio,Texas,,4,1/23/2017
Mirilla&Peabody,1,mpeabody15@oracle.com,86 Kings Street,El Paso,Texas,88525,1,1/23/2017
Tandy&Gelland,1,tgelland4a@rakuten.co.jp,525 Darwin Pass,Juneau,Alaska,99812,10,1/23/2017
Kiley&Woodhouse,1,kwoodhouse6l@dyndns.org,7815 Grim Court,Albany,New York,12210,7,1/23/2017
Grover&Popescu,1,gpopescu2y@pbs.org,321 Hoard Crossing,Kansas City,,64193,5,1/24/2017
Melania&Steger,1,mstegerd9@geocities.com,837 Amoth Hill,Honolulu,Hawaii,96825,2,1/24/2017
Kaylyn&Rohmer,0,krohmer3y@soup.io,83 Artisan Lane,El Paso,Texas,88553,7,1/25/2017
Collette&Aiskrigg,0,caiskrigg5n@dailymotion.com,036 Burning Wood Parkway,Mobile,Alabama,36670,8,1/25/2017
Lily&Jeffress,0,ljeffressco@google.com,4760 Delladonna Pass,New Haven,Connecticut,6520,8,1/25/2017
Kata&Wisson,1,kwissond6@techcrunch.com,0 Sachtjen Pass,Boston,Massachusetts,2208,4,1/25/2017
Burnaby&Legh,0,,1 Glendale Way,San Angelo,Texas,76905,1,1/26/2017
Collete&Aggis,0,caggis4x@oracle.com,39 Moose Center,Philadelphia,Pennsylvania,19146,4,1/26/2017
Margery&Shrawley,0,mshrawley6h@java.com,8 Havey Center,Hampton,Virginia,23663,3,1/26/2017
Meris&Hiddsley,0,mhiddsleyb1@springer.com,2 Oxford Crossing,,Texas,77255,7,1/26/2017
Binny&Daddow,1,bdaddow4@netlog.com,5721 Graceland Drive,Reading,,19605,6,1/26/2017
Larry&Hamberston,1,lhamberston1i@cornell.edu,20 Artisan Hill,Orlando,Florida,32819,1,1/26/2017
Rudie&Vagg,1,rvaggce@timesonline.co.uk,520 Sunnyside Circle,San Jose,California,95108,10,1/26/2017
Leeland&Inkpin,1,linkpind2@craigslist.org,3 Sunbrook Way,Kansas City,Missouri,64130,3,1/26/2017
Lizabeth&Dufton,1,ldufton5b@imgur.com,7 Spohn Street,Corona,California,92883,9,1/27/2017
Ilse&Lea,0,ileao@php.net,8 Claremont Alley,Vancouver,Washington,98682,6,1/28/2017
Dido&Rattenbury,0,,67424 Hanover Pass,Syracuse,New York,13205,9,1/28/2017
Romola&Fewell,0,rfewell6q@sina.com.cn,8298 Cherokee Park,Memphis,Tennessee,38188,6,1/28/2017
Gillie&Corneille,1,gcorneille7j@plala.or.jp,7037 Commercial Center,Huntington,West Virginia,25721,6,1/28/2017
Edwin&Kuhne,1,ekuhneaa@sciencedaily.com,348 Messerschmidt Pass,Denver,Colorado,80249,6,1/28/2017
Grantham&Dutnell,0,gdutnell2f@java.com,551 Sommers Circle,,District of Columbia,20436,6,1/29/2017
Vasilis&Horsewood,0,vhorsewood3d@lulu.com,1986 Comanche Avenue,Columbus,Ohio,43226,6,1/29/2017
Hersh&Bear,0,hbearal@printfriendly.com,1 Fieldstone Center,Hartford,Connecticut,6120,3,1/29/2017
Lida&Jobb,0,ljobbc9@tinyurl.com,274 Kenwood Parkway,Madison,Wisconsin,,3,1/29/2017
Oliver&Breton,1,obreton0@flickr.com,1 Express Park,,Nebraska,68110,9,1/29/2017
Emmye&Pingston,1,epingston5w@howstuffworks.com,5208 Cottonwood Terrace,San Francisco,California,94164,2,1/29/2017
Georgia&Crapper,1,gcrapperbu@columbia.edu,40 Green Street,Salt Lake City,Utah,84105,9,1/29/2017
Dougy&Tooker,1,dtookerct@si.edu,NIL,Chattanooga,Tennessee,37450,8,1/29/2017
Herby&Cayser,0,hcayserl@cornell.edu,0880 8th Crossing,Tampa,Florida,33615,3,1/30/2017
Ody&Gilli,0,ogilli3u@flavors.me,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Raleigh,North Carolina,27658,1,1/30/2017
Dolly&Symcox,0,dsymcox44@youtube.com,1912 Vernon Park,Gulfport,Mississippi,39505,1,1/30/2017
Judi&Duignan,0,,8 Commercial Crossing,Spokane,Washington,99205,6,1/30/2017
Eve&McGawn,0,emcgawnam@japanpost.jp,492 Elgar Crossing,Evansville,Indiana,47725,2,1/30/2017
Kahaleel&Craik,0,kcraikcg@wired.com,6 Duke Point,Salt Lake City,Utah,84115,8,1/30/2017
Alf&Widdowes,1,awiddowesi@ovh.net,493 Mandrake Drive,Saint Louis,Missouri,63110,4,1/30/2017
Natty&Ismay,1,nismay39@myspace.com,2 Hoffman Hill,Norfolk,Virginia,,10,1/30/2017
Wayne&Spilsted,1,wspilsted7e@plala.or.jp,$1.00,Carlsbad,California,92013,5,1/30/2017
Michael&Kier,1,mkierbj@alexa.com,023 Spohn Road,Flint,Michigan,48505,4,1/30/2017
Alessandra&Hawthorn,0,ahawthorn8@fotki.com,592 Welch Place,Albany,New York,12262,3,1/31/2017
Mallorie&Thowless,0,mthowlessj@businessinsider.com,95478 Huxley Crossing,Seattle,Washington,98109,2,1/31/2017
Mauricio&Staziker,0,,1499 Lunder Court,Fresno,California,,8,1/31/2017
Colby&Gribbon,0,cgribbonbw@alibaba.com,172 Utah Park,Dayton,Ohio,45440,8,1/31/2017
Randie&Ovesen,1,rovesen1@ca.gov,9 Hoffman Avenue,Huntsville,Alabama,,6,1/31/2017
Haydon&Arnaudi,1,harnaudid1@ibm.com,20 Northport Pass,Tucson,Arizona,85754,3,1/31/2017
Juan&Wingeat,0,,74575 Thackeray Junction,Port Charlotte,Florida,33954,3,2/1/2017
Merrill&MacInnes,0,mmacinnese@mail.ru,5 Bonner Court,Memphis,Tennessee,38114,9,2/1/2017
Lucina&Earle,1,learle17@prlog.org,76402 Sherman Parkway,Harrisburg,Pennsylvania,17121,8,2/1/2017
Cris&Emms,1,cemms8o@squidoo.com,9 Hermina Terrace,Melbourne,Florida,32919,6,2/1/2017
Trista&Yielding,1,tyielding8u@tripod.com,86630 Morrow Lane,Salt Lake City,Utah,84110,6,2/1/2017
Melosa&Spurier,0,,7 Sunnyside Junction,Salt Lake City,Utah,84120,3,2/2/2017
Shawnee&Naughton,0,snaughton4m@howstuffworks.com,0778 Iowa Parkway,El Paso,Texas,79928,1,2/2/2017
Chelsy&Lovekin,1,clovekin2k@bloomberg.com,8 Delladonna Parkway,Baton Rouge,Louisiana,70894,9,2/2/2017
Christoph&Clara,1,,44053 Nova Alley,Oklahoma City,Oklahoma,,5,2/2/2017
Kelsy&Bycraft,1,kbycraft65@biglobe.ne.jp,02653 Porter Parkway,Southfield,Michigan,48076,7,2/2/2017
Rhody&Tweed,1,rtweed7z@buzzfeed.com,46507 Center Road,Miami,Florida,,8,2/2/2017
Gerty&Canceller,0,gcanceller5y@wired.com,6019 Onsgard Avenue,Port Saint Lucie,Florida,34985,2,2/3/2017
Nalani&Masi,0,,708 Arapahoe Drive,Tucson,Arizona,85748,8,2/3/2017
Benny&Grafton-Herbert,0,bgraftonherbert7n@seesaa.net,32428 Colorado Lane,Washington,District of Columbia,20215,10,2/3/2017
Tarrance&Hastelow,0,thastelow87@kickstarter.com,52747 Caliangt Plaza,Lansing,Michigan,48930,7,2/3/2017
Lem&Dykes,0,,8 Loomis Way,Santa Cruz,California,95064,3,2/3/2017
Alexandro&Feechum,1,afeechum4p@opensource.org,497 Thackeray Junction,Macon,Georgia,31210,4,2/3/2017
Manfred&Phateplace,1,mphateplace75@weibo.com,3 Mifflin Junction,Seattle,Washington,98158,4,2/3/2017
Wallie&Peegrem,1,wpeegrem91@hp.com,60 Sycamore Pass,Biloxi,Mississippi,39534,2,2/3/2017
Elinore&Burnsides,1,,54013 Scofield Hill,Tucson,Arizona,85754,2,2/3/2017
Libbi&Aikenhead,1,laikenheadba@samsung.com,30115 Reindahl Drive,Durham,North Carolina,27705,8,2/3/2017
Carlynn&Kittoe,1,ckittoec7@xing.com,2 Quincy Point,Miami,Florida,,2,2/3/2017
Chariot&McVicker,0,cmcvickerk@deviantart.com,66 Service Place,Saint Paul,,55188,10,2/4/2017
Emlyn&Brundall,0,ebrundall63@hostgator.com,1 Schmedeman Drive,Berkeley,California,94712,9,2/4/2017
Cheri&Lamartine,0,clamartine69@google.co.jp,91 Westridge Place,Daytona Beach,Florida,32128,9,2/4/2017
Meredeth&Matanin,0,mmatanin9k@ucoz.com,09534 Continental Parkway,,Texas,78470,1,2/4/2017
Fredia&Cassar,0,fcassarai@icio.us,53866 Hoard Place,Dallas,Texas,75358,5,2/4/2017
Caz&Moores,1,cmooresx@wp.com,1336 Elgar Crossing,,Alabama,,5,2/4/2017
Horatius&Playfair,1,,07 Tennessee Center,Amarillo,Texas,79105,7,2/4/2017
Kev&Burchell,1,kburchell9w@alibaba.com,7 Bowman Avenue,Des Moines,Iowa,50393,7,2/4/2017
Mariele&McEniry,1,mmcenirych@e-recht24.de,06 Beilfuss Street,Jefferson City,Missouri,65105,8,2/4/2017
Ossie&Pochon,0,opochon6t@newyorker.com,40 Manufacturers Center,Jeffersonville,Indiana,47134,3,2/5/2017
Bonnee&Walsom,0,,42928 North Junction,,Ohio,45271,9,2/5/2017
Guglielmo&Lethby,1,,92963 Hovde Pass,Tampa,,33605,6,2/5/2017
Orion&Flahy,1,oflahy7k@uol.com.br,70 Holy Cross Circle,Macon,Georgia,31296,6,2/5/2017
Em&Reddel,1,ereddel8q@dyndns.org,2 Jenna Court,Cleveland,Ohio,44118,4,2/5/2017
Brant&Hawkwood,1,bhawkwooddd@shinystat.com,17769 Redwing Alley,San Diego,California,92132,9,2/5/2017
Gabe&Tschirschky,0,gtschirschkyh@house.gov,3 Bunting Lane,Dallas,Texas,75236,5,2/6/2017
Burnard&Wildin,0,bwildin3n@pagesperso-orange.fr,01232 Thompson Center,El Paso,Texas,88579,5,2/6/2017
Kit&Keeltagh,0,,07 Linden Lane,Colorado Springs,Colorado,,3,2/6/2017
Cathyleen&Renney,1,crenneya@elegantthemes.com,228 Service Road,Jacksonville,Florida,32255,9,2/6/2017
Drusi&Barensky,1,dbarensky12@nyu.edu,3 Parkside Park,Norfolk,Virginia,23514,3,2/6/2017
Raffaello&Torn,1,rtorn5v@home.pl,-1.00E+02,College Station,Texas,77844,4,2/6/2017
Carolyn&Kacheller,1,ckacheller7m@tmall.com,3794 Michigan Trail,Los Angeles,California,90050,8,2/6/2017
Eryn&Harbidge,1,eharbidge7q@pagesperso-orange.fr,22 Kinsman Trail,,Georgia,31190,7,2/6/2017
Deirdre&Mustard,0,dmustard4u@geocities.com,233 Hanson Hill,Tampa,Florida,33615,7,2/7/2017
Raynell&Eilhermann,0,,189 Pleasure Street,Kansas City,Missouri,64109,3,2/7/2017
Ingeberg&Vivash,0,ivivash7v@bing.com,00 Roxbury Park,Washington,,20299,6,2/7/2017
Stephen&Breinlein,0,sbreinlein82@wiley.com,21 Fairfield Park,Fort Smith,Arkansas,,3,2/7/2017
Estell&Crocken,0,,437 Northridge Terrace,Panama City,Florida,,8,2/7/2017
Harriett&Tuminelli,1,htuminelli14@sciencedaily.com,75960 Washington Parkway,Lubbock,Texas,79415,1,2/7/2017
Lillian&Grass,1,lgrass1b@ehow.com,96 Mcguire Plaza,Hattiesburg,Mississippi,39404,4,2/7/2017
Ailey&Rattrie,1,arattrie5k@jiathis.com,336 International Hill,Shreveport,Louisiana,71166,3,2/7/2017
Debi&Finney,1,dfinneybb@hugedomains.com,7 Upham Place,Sioux Falls,South Dakota,,1,2/7/2017
Mindy&Jorgesen,1,mjorgesenbx@amazon.co.jp,9 Dottie Way,Knoxville,Tennessee,37919,3,2/7/2017
Siegfried&Rivilis,0,,36478 Burrows Place,Tampa,Florida,33633,2,2/8/2017
Michale&Clemenson,0,mclemensonb8@biblegateway.com,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Portsmouth,New Hampshire,3804,6,2/8/2017
Blondie&Hagwood,0,bhagwooddc@livejournal.com,3 Carey Park,San Diego,California,92186,3,2/8/2017
Shamus&Pottery,1,spotterybp@fotki.com,024 Kensington Avenue,Washington,District of Columbia,20299,7,2/8/2017
Hilton&Rydzynski,0,hrydzynski13@privacy.gov.au,65 Huxley Pass,Memphis,Tennessee,38104,1,2/9/2017
Pandora&Kinsey,0,pkinsey30@netscape.com,5033 Bartelt Plaza,Salt Lake City,Utah,84189,3,2/9/2017
Stafford&Scamerdine,0,sscamerdine3o@admin.ch,92 Lakeland Drive,Raleigh,North Carolina,27615,1,2/9/2017
Erskine&Lawlor,1,elawlor5o@nydailynews.com,37 Ridge Oak Junction,Oklahoma City,Oklahoma,73114,2,2/9/2017
Nero&Esel,1,nesel8e@networksolutions.com,6 Roxbury Junction,Charlotte,North Carolina,28299,2,2/9/2017
Paulita&Crossgrove,1,pcrossgrove8s@live.com,0 Debra Parkway,Oklahoma City,Oklahoma,73152,8,2/9/2017
Jaine&Fosten,1,jfosten97@comsenz.com,4834 Di Loreto Park,Saint Paul,Minnesota,55123,8,2/9/2017
Xenos&Minister,1,xministerd7@baidu.com,57185 3rd Way,,Oklahoma,74193,1,2/9/2017
Selie&Enderson,0,senderson2o@desdev.cn,51 1st Place,Charleston,West Virginia,25331,1,2/10/2017
Glennis&Stilly,0,,1 Caliangt Parkway,Erie,Pennsylvania,,9,2/10/2017
Michaella&Stapels,0,mstapelsc4@accuweather.com,24228 Daystar Terrace,Irvine,California,92717,7,2/10/2017
Roslyn&Bowkett,1,rbowkett9e@liveinternet.ru,82 Maple Way,Rockford,Illinois,61105,3,2/10/2017
Cassandre&Sommerscales,0,csommerscalesv@woothemes.com,8 Banding Lane,Las Cruces,,88006,1,2/11/2017
Hastings&Brumham,0,hbrumham1j@blogtalkradio.com,7021 Claremont Road,Tyler,,75705,10,2/11/2017
Elisa&Dansey,0,edansey9b@cbsnews.com,16 Lake View Crossing,Abilene,Texas,79605,2,2/11/2017
Deedee&Lejeune,1,dlejeunec1@amazon.co.uk,6981 Dovetail Alley,Montgomery,,36119,10,2/11/2017
Kerry&Beak,0,kbeak1g@hubpages.com,6 Gale Place,Corpus Christi,Texas,78465,10,2/12/2017
Fletcher&Collins,1,,045 Independence Center,El Paso,Texas,79994,3,2/12/2017
Arleen&Boskell,1,aboskell5t@epa.gov,28 Center Drive,Dulles,Virginia,,1,2/12/2017
Aura&Glenister,1,aglenister5u@dell.com,03264 Hallows Crossing,Brooklyn,New York,11241,4,2/12/2017
Shauna&Blandamere,1,sblandamere8t@so-net.ne.jp,0 Orin Circle,Des Moines,Iowa,,6,2/12/2017
Lianne&Morstatt,1,lmorstattbt@nyu.edu,2 Vidon Hill,San Antonio,,78250,7,2/12/2017
Welch&Hackly,0,whackly2c@ebay.co.uk,2212 Spohn Avenue,Pasadena,California,91117,3,2/13/2017
Daisie&Featherstonhaugh,0,,37 Emmet Alley,Cincinnati,Ohio,45249,1,2/13/2017
Damian&Mirams,0,dmirams7b@opera.com,3067 Rockefeller Alley,Wilmington,Delaware,19805,6,2/13/2017
